timestamp,force.x[N],force.y[N],force.z[N],torque.x[N m],torque.y[N m],torque.z[N m],sinkage[mm],rotary_encoder[]
6.49998,-10.55,2.45,-41.4,1.335,-2.086,-0.3144,0,16.5682
6.5395,-11.1,2.55,-41.2,1.111,-2.186,-0.3048,0,16.6714
6.58059,-11.15,3.25,-43.05,1.19,-2.12,-0.3616,0,16.8263
6.61973,-11.65,3.25,-44.65,1.343,-2.223,-0.3944,0,16.6456
6.65976,-12.3,2.55,-42.95,1.388,-2.447,-0.3872,0,16.7488
6.69987,-13,2.35,-42.35,1.302,-2.593,-0.376,0,16.8779
6.73974,-13.55,2.75,-42.9,1.298,-2.635,-0.42,0,16.5682
6.77987,-14.05,2.95,-45.55,1.457,-2.718,-0.4744,0,16.7746
6.81974,-14.7,2.65,-44.6,1.504,-2.904,-0.4832,0,16.6456
6.86002,-15.85,2.45,-44.4,1.574,-3.138,-0.504,0,16.594
6.89975,-16.55,2.45,-44.65,1.693,-3.271,-0.5568,0,16.6972
6.94,-17,2.3,-44.6,1.764,-3.389,-0.5904,0,16.6972
6.97976,-18,2.05,-44.9,1.74,-3.641,-0.6008,0,16.6198
7.02105,-19.05,2.15,-45.05,1.672,-3.862,-0.616,0,16.4908
7.05999,-19.55,2.25,-45.3,1.723,-3.961,-0.648,0,16.5424
7.09958,-19.95,2.15,-45.15,1.811,-4.045,-0.6832,0,16.5682
7.13946,-20.15,2,-44.5,1.81,-4.116,-0.6904,0,16.3101
7.1797,-20.75,1.95,-44.15,1.724,-4.258,-0.6776,0,16.723
7.21968,-21.15,2.15,-44.85,1.785,-4.309,-0.6888,0,16.465
7.25959,-21,2.2,-45.15,1.883,-4.281,-0.7144,0,16.5424
7.29995,-20.95,2.05,-44.5,1.921,-4.273,-0.7328,0,16.6198
7.34011,-21.25,1.75,-44.6,1.919,-4.358,-0.7144,0,16.465
7.37987,-21.55,2,-45.05,1.85,-4.403,-0.7088,0,16.5682
7.41978,-21.55,2.25,-45.75,1.974,-4.375,-0.7368,0,16.6456
7.45975,-21.35,2.1,-45.75,2.088,-4.349,-0.7576,0,16.465
7.49988,-21.4,1.9,-45.6,2.113,-4.364,-0.7616,0,16.6198
7.53951,-21.75,1.85,-45.95,2.048,-4.442,-0.7472,0,16.4391
7.58011,-22,2.1,-46.55,2.105,-4.459,-0.748,0,16.3617
7.62024,-21.7,2.25,-46.55,2.206,-4.383,-0.7808,0,16.6972
7.66061,-21.3,2.1,-46.05,2.238,-4.295,-0.7824,0,16.3617
7.70002,-21.6,1.7,-46.5,2.279,-4.348,-0.7656,0,16.594
7.73963,-22.1,1.85,-46.75,2.146,-4.487,-0.7576,0,16.5682
7.77999,-22.15,2.25,-46.2,2.134,-4.462,-0.7824,0,16.465
7.81988,-21.75,2.2,-47,2.308,-4.367,-0.7856,0,16.5682
7.8601,-21.7,1.95,-46.55,2.324,-4.363,-0.7856,0,16.2843
7.90115,-21.8,1.65,-46.6,2.288,-4.394,-0.7656,0,16.3359
7.93974,-22.1,2,-47.4,2.195,-4.455,-0.7552,0,16.4908
7.97999,-22,2.3,-47.45,2.291,-4.432,-0.7864,0,16.3101
8.01972,-21.9,2.2,-47.5,2.404,-4.398,-0.812,0,16.5424
8.05994,-21.75,2,-47.2,2.405,-4.38,-0.8032,0,16.3101
8.09981,-22.15,1.9,-47.25,2.29,-4.489,-0.7864,0,16.4908
8.13969,-22.3,2.25,-47.55,2.257,-4.514,-0.7848,0,16.3875
8.18005,-22.3,2.25,-48.15,2.512,-4.465,-0.828,0,16.3617
8.22007,-22.15,2.05,-47.75,2.539,-4.419,-0.8368,0,16.2843
8.25993,-22.25,1.8,-47.7,2.532,-4.446,-0.824,0,16.5166
8.29949,-22.4,1.85,-47.45,2.385,-4.497,-0.8016,0,16.4133
8.33969,-22.4,2.2,-48.1,2.423,-4.465,-0.8024,0,16.5424
8.37993,-22.15,2.1,-47.5,2.606,-4.403,-0.8416,0,16.5166
8.4197,-21.95,1.9,-46.6,2.56,-4.367,-0.8272,0,16.6456
8.45995,-21.75,1.7,-46.1,2.503,-4.344,-0.7944,0,16.3617
8.49972,-21.75,1.8,-46,2.366,-4.357,-0.7608,0,16.6714
8.53994,-21.6,2.15,-46.3,2.509,-4.29,-0.7976,0,16.5682
8.57972,-21.45,1.95,-46.35,2.652,-4.228,-0.808,0,16.9553
8.61971,-21.5,1.75,-46.05,2.61,-4.237,-0.8008,0,16.6714
8.6597,-21.3,1.65,-45.45,2.515,-4.226,-0.78,0,16.7488
8.69971,-21.25,2,-45.2,2.353,-4.228,-0.7576,0,17.2392
8.73946,-20.85,2.15,-45.3,2.577,-4.107,-0.7856,0,16.6714
8.78006,-20.85,2,-44.95,2.643,-4.071,-0.7768,0,16.7746
8.82007,-20.65,1.9,-43.75,2.526,-4.032,-0.7648,0,17.0069
8.85994,-20.2,1.75,-42.75,2.434,-3.966,-0.72,0,16.8521
8.89982,-19.9,2.35,-43,2.349,-3.89,-0.7176,0,17.0843
8.93969,-18.45,2.55,-42.85,2.522,-3.553,-0.7008,0,16.8521
8.98127,-17.35,2.2,-42.55,2.631,-3.289,-0.6296,0,17.1618
9.01994,-17.4,2.05,-42.55,2.607,-3.298,-0.612,0,17.1876
9.0597,-17.75,2.05,-43.05,2.49,-3.406,-0.6224,0,17.0585
9.09982,-18.25,2.9,-43.4,2.377,-3.491,-0.6784,0,17.7295
9.13995,-17.55,2.8,-42.4,2.504,-3.32,-0.6808,0,17.5231
9.1803,-15.7,2.55,-41.1,2.559,-2.911,-0.5688,0,17.5489
9.22005,-14.8,2.15,-41.05,2.657,-2.732,-0.5064,0,18.1166
9.25994,-15.4,2.05,-41.8,2.568,-2.894,-0.5176,0,17.8069
9.29982,-16.45,3.15,-41.8,2.398,-3.095,-0.6256,0,18.2198
9.33969,-15.85,2.9,-41.8,2.538,-2.961,-0.612,0,18.1682
9.37982,-15.3,2.3,-41.55,2.672,-2.836,-0.5504,0,17.8844
9.41983,-15.05,2.05,-40.75,2.616,-2.794,-0.5224,0,18.8392
9.45982,-15.6,1.8,-41.45,2.592,-2.928,-0.5248,0,18.4263
9.49946,-16.25,3.15,-43.1,2.508,-3.041,-0.6144,0,18.0392
9.53981,-15.95,3,-42.15,2.551,-2.98,-0.616,0,18.9941
9.57969,-15.1,2.55,-41.95,2.651,-2.789,-0.5496,0,18.4779
9.61946,-14.35,2.05,-41.4,2.717,-2.66,-0.484,0,18.2973
9.65981,-14.75,1.85,-41.4,2.649,-2.755,-0.4968,0,18.9941
9.69971,-15.6,3.25,-42.35,2.436,-2.909,-0.584,0,18.6328
9.74005,-14.75,2.75,-42.45,2.723,-2.712,-0.5416,0,18.3231
9.78005,-14.35,2.55,-41.25,2.701,-2.618,-0.5208,0,19.2521
9.8197,-14.25,2.15,-41.6,2.742,-2.609,-0.4952,0,18.865
9.86065,-15.2,2.2,-44.15,2.703,-2.835,-0.524,0,18.1424
9.89983,-16.2,3.6,-42.75,2.356,-3.03,-0.6376,0,18.065
9.93981,-15,2.8,-42.8,2.726,-2.742,-0.556,0,18.8392
9.9797,-14.2,2.5,-41.3,2.737,-2.585,-0.5024,0,18.2715
10.0197,-13.45,2,-40.4,2.772,-2.445,-0.456,0,17.8586
10.0598,-14.4,1.8,-42.2,2.741,-2.664,-0.4688,0,18.2198
10.1003,-15.85,3.5,-43.4,2.416,-2.938,-0.584,0,18.4005
10.1404,-15.3,3.1,-42.85,2.647,-2.811,-0.5672,0,17.8844
10.1801,-14.1,2.45,-41.3,2.767,-2.571,-0.4888,0,17.9102
10.22,-13.7,2,-41.1,2.839,-2.475,-0.4584,0,18.5295
10.2595,-14.55,2.35,-43.15,2.736,-2.649,-0.5032,0,17.9876
10.3009,-15.5,3.4,-43,2.641,-2.824,-0.6128,0,18.5811
10.34,-14.9,2.95,-43.3,2.777,-2.711,-0.5512,0,18.5811
10.3798,-13.55,2.5,-41.1,2.797,-2.457,-0.468,0,18.2973
10.4198,-12.8,2.25,-41,2.835,-2.305,-0.4264,0,19.3296
10.4596,-13.9,2.9,-44.05,2.828,-2.461,-0.496,0,18.9941
10.5,-14.5,3.25,-41.9,2.688,-2.606,-0.564,0,18.5037
10.5397,-13.9,2.65,-42.55,2.882,-2.481,-0.4984,0,19.3812
10.5797,-12.85,2.45,-41.75,2.872,-2.287,-0.4344,0,19.3038
10.62,-12.6,2.55,-42.95,2.875,-2.246,-0.4304,0,18.5553
10.6599,-14.1,3.6,-43.85,2.741,-2.492,-0.5392,0,18.3231
10.6995,-14.05,2.8,-42.9,2.954,-2.484,-0.5104,0,19.3554
10.7398,-13.5,2.55,-41.65,2.959,-2.39,-0.4736,0,18.6586
10.78,-12.9,2.35,-41.55,2.938,-2.275,-0.448,0,18.3231
10.8201,-13.1,2.85,-43.25,2.873,-2.305,-0.48,0,19.1747
